title,Location,details,Price,Description
"
5 bedroom house for sale in Karen
,
Beautiful 1acre 5bd home for Sale in off Karen ...
","
Karen, Langata
","
5
","
KSh 125,000,000
","
Beautiful 1acre 5bd home for Sale in off Karen...
,
5 bedroom house for sale in Karen
"
"
Furnished 8 bedroom house for sale in Watamu
,
Beach House For Sale - Watamu
","
Watamu, Kilifi North
 ","
8
","
KSh 60,000,000
","
Beach House For Sale - Watamu
,
Furnished 8 bedroom house for sale in Watamu
"
"
4 bedroom townhouse for sale in Loresho
,
Loresho: 4 Bedroom Town house with Family Room
","
Loresho, Westlands
","
4
","
KSh 45,000,000
","
Loresho: 4 Bedroom Town house with Family Room
,
4 bedroom townhouse for sale in Loresho
"
"
4 bedroom townhouse for sale in Kiambu Road
,
Homes That Match! Kiambu Road Four Bedroom Town ...
","
Kiambu Road, Kiambu Road
","
4
","
KSh 62,000,000
","
Homes That Match! Kiambu Road Four Bedroom Town...
,
4 bedroom townhouse for sale in Kiambu Road
"
"
3 bedroom villa for sale in Ngong
,
Lovely 3 BR Houses in Ngong
","
Ngong, Kajiado North
","
3
","
KSh 7,500,000
","
Lovely 3 BR Houses in Ngong
,
3 bedroom villa for sale in Ngong
"
"
5 bedroom house for sale in Nyari
,
5br House, Nyari
","
Nyari, Nyari, Westlands
","
5
","
KSh 200,000,000
","
5br House, Nyari
,
5 bedroom house for sale in Nyari
"
"
3 bedroom house for sale in Kitengela
,
Elegant 3 Bedroom Bungalow Master Ensuite+DSQ;K ...
","
Kitengela, Kajiado North
","
464 m²
,
3
","
KSh 8,000,000
","
 Elegant 3 Bedroom Bungalow Master Ensuite+DSQ;K...
,
3 bedroom house for sale in Kitengela
"
"
4 bedroom house for sale in Nyali Area
,
4 bedroom own compound in a gated estate on sa ...
","
links road Nyali, Nyali Area, Nyali
","
3876 ft²
,
4
","
KSh 75,000,000
","
4 bedroom own compound in a gated estate on sa...
,
4 bedroom house for sale in Nyali Area
"
"
4 bedroom house for sale in Brookside
,
House for sale in Brookside
","
Brookside, Westlands
","
4
","
KSh 50,000,000
","
House for sale in Brookside
,
4 bedroom house for sale in Brookside
"
"
5 bedroom house for sale in Kahawa Sukari
,
Very spacious 5 bedroom maisonette at Kahawa Su ...
","
Thika Superhighway, Kahawa Sukari, Roysambu
","
5
","
KSh 25,000,000
","
Very spacious 5 bedroom maisonette at Kahawa Su...
,
5 bedroom house for sale in Kahawa Sukari
"
"
4 bedroom house for sale in Kyuna
,
4 Bedroom Townhouse For Sale In Kyuna
","
Nairobi, Kyuna, Westlands
","
4
","
KSh 95,000,000
","
4 Bedroom Townhouse For Sale In Kyuna
,
4 bedroom house for sale in Kyuna
"
"
4 bedroom house for sale in Kitengela
,
4bedroom Mansionette
","
Kitengela, Kajiado North
","
4
","
KSh 13,000,000
","
4bedroom Mansionette
,
4 bedroom house for sale in Kitengela
"
"
4 bedroom townhouse for sale in Runda
,
Family Oriented! Runda Four Bedroom Townhouse I ...
","
Runda, Westlands
","
4
","
KSh 65,000,000
","
Family Oriented! Runda Four Bedroom Townhouse I...
,
4 bedroom townhouse for sale in Runda
"
"
3 bedroom house for sale in Thika Road
,
Ruiru 3 bedroom all ensuite bungalow for sale
","
Ruiru, New Githunguri road, Thika Road, Thika Road
","
145 m²
,
3
","
KSh 5,900,000
","
Ruiru 3 bedroom all ensuite bungalow for sale
,
3 bedroom house for sale in Thika Road
"
"
Furnished 5 bedroom villa for sale in Karen
 ,
spacious 5 bedrooms villa for sale in Karen
","
Karen, Langata
","
4499 m²
,
5
 ","
KSh 70,000,000
","
spacious 5 bedrooms villa for sale in Karen
,
Furnished 5 bedroom villa for sale in Karen
"
"
3 bedroom house for sale in Joska
,
3bedroom bungalows for sale at malaa kangundo r ...
","
Joska, Kangundo
","
180 m²
,
3
","
KSh 6,000,000
","
3bedroom bungalows for sale at malaa kangundo r...
,
3 bedroom house for sale in Joska
"
"
4 bedroom house for sale in Bamburi
,
4 BEDROOM MANSIONATTE IN BUSTANI
","
NAIVAS, BAMBURI, Bamburi, Kisauni
","
5000 m²
,
4
","
KSh 15,000,000
","
4 BEDROOM MANSIONATTE IN BUSTANI
,
4 bedroom house for sale in Bamburi
"
"
5 bedroom house for sale in Karen
,
Superb quality home for sale · Gated Compound
","
Pepo Lane, Karen, Langata
","
446 m²
,
5
","
KSh 90,000,000
","
Superb quality home for sale · Gated Compound
,
5 bedroom house for sale in Karen
"
"
5 bedroom house for sale in Riverside
,
5 Bedroom Beautiful Townhouse
","
Riverside, Westlands
","
5
","
KSh 55,000,000
","
5 Bedroom Beautiful Townhouse
,
5 bedroom house for sale in Riverside
"
"
4 bedroom townhouse for sale in Kitengela
,
Four Bedroom Towhouses For Sale - Kitengela
","
Kitengela, Kajiado North
","
4
","
KSh 15,900,000
","
Four Bedroom Towhouses For Sale - Kitengela
,
4 bedroom townhouse for sale in Kitengela
"
"
4 bedroom townhouse for sale in Runda
,
4 & 3 BDR Townhouse for sale
","
Runda, Westlands
","
4
","
KSh 27,450,000
","
4 & 3 BDR Townhouse for sale
,
4 bedroom townhouse for sale in Runda
"
"
4 bedroom house for sale in Nyali Area
,
4 bedroom mansion in a gated estate on sale at ...
","
Nyali, Nyali Area, Nyali
","
3868 ft²
,
4
","
KSh 42,000,000
","
4 bedroom mansion in a gated estate on sale at...
,
4 bedroom house for sale in Nyali Area
"
"
3 bedroom house for sale in Joska
,
Newly Built Houses For Sale Along Kangundo Road
","
Joska, Kangundo
","
3
","
KSh 4,750,000
","
Newly Built Houses For Sale Along Kangundo Road
,
3 bedroom house for sale in Joska
"
"
4 bedroom house for sale in Malindi Town
,
4 Bedroom House for Sale in Malindi
","
Casuarina, Malindi Town, Malindi
","
4
","
KSh 14,000,000
","
4 Bedroom House for Sale in Malindi
,
4 bedroom house for sale in Malindi Town
"
"
4 bedroom townhouse for sale in Kitengela
,
4 BR Maisonette, Kitengela.
","
Kitengela, Kajiado North
","
428 m²
,
4
","
KSh 16,200,000
","
4 BR Maisonette, Kitengela.
,
4 bedroom townhouse for sale in Kitengela
"
"
4 bedroom townhouse for sale in Kiambu Road
,
4 Bedroom Villa for Sale in Mushroom Estate Kia ...
","
Mushroom Estate, Kiambu Road, Kiambu Road
","
4
","
KSh 88,000,000
","
4 Bedroom Villa for Sale in Mushroom Estate Kia...
,
4 bedroom townhouse for sale in Kiambu Road
"
"
3 bedroom villa for sale in Kiserian
,
Very beautiful 3 BR house in Kiserian
","
Kiserian, Kajiado North
","
3
","
KSh 5,300,000
","
Very beautiful 3 BR house in Kiserian
,
3 bedroom villa for sale in Kiserian
"
"
4 bedroom house for sale in Lavington
,
4 BED 2HOUSES FOR SALE IN LAVINGTON
","
Lavington, Lavington, Dagoretti North
","
4047 m²
,
4
","
KSh 200,000,000
","
4 BED 2HOUSES FOR SALE IN LAVINGTON
,
4 bedroom house for sale in Lavington
"
"
5 bedroom townhouse for sale in Ridgeways
,
5 Bedrooms double story on 1/2 acre for sale
","
Ridgeways, Ridgeways
","
400 m²
,
5
","
KSh 75,000,000
","
5 Bedrooms double story on 1/2 acre for sale
,
5 bedroom townhouse for sale in Ridgeways
"
"
5 bedroom house for sale in Joska
,
4 bedroom massionates
","
Joska, Kangundo
","
5
","
KSh 9,500,000
","
4 bedroom massionates
,
5 bedroom house for sale in Joska
"
"
4 bedroom house for sale in Karen
,
4BR BUNGALOW FOR SALE IN KAREN
","
Fair acres, Karen, Langata
","
4
","
KSh 60,000,000
","
4BR BUNGALOW FOR SALE IN KAREN
,
4 bedroom house for sale in Karen
"
"
5 bedroom townhouse for sale in Kyuna
,
5 Bedroom All En-suite Lovely Townhouses For Sa ...
","
Kyuna Crescent, Kyuna, Westlands
","
5
","
KSh 52,000,000
","
5 Bedroom All En-suite Lovely Townhouses For Sa...
,
5 bedroom townhouse for sale in Kyuna
"
"
4 bedroom townhouse for sale in Spring Valley
,
Spring Valley 4 Bedroom Townhouse plus Dsq for ...
","
Spring Valley, Westlands
","
4
","
KSh 90,000,000
","
Spring Valley 4 Bedroom Townhouse plus Dsq for...
,
4 bedroom townhouse for sale in Spring Valley
"
"
3 bedroom house for sale in Juja
,
3 bedroom bungalows for sale
","
Kenyatta road, Juja, Kiambu Constituency
","
3
","
KSh 7,250,000
","
3 bedroom bungalows for sale
,
3 bedroom house for sale in Juja
"
"
4 bedroom house for sale in Kitengela
,
A standalone House on own compound for Sale in ...
","
Kitengela, Kajiado North
","
4
","
KSh 12,500,000
","
A standalone House on own compound for Sale in...
,
4 bedroom house for sale in Kitengela
"
"
5 bedroom house for sale in Lavington
,
5 Bedroom Home in a Gated Community in Lavingto ...
","
Lavington, Dagoretti North
","
5
","
KSh 110,000,000
","
5 Bedroom Home in a Gated Community in Lavingto...
,
5 bedroom house for sale in Lavington
"
"
3 bedroom house for sale in Kiambu Town
,
3 & 4 BEDROOM MAISONETTES FOR SALE ALONG Kiambu ...
","
Kiambu Town, Kiambu Town
","
169968 m²
,
3
","
KSh 18,500,000
","
3 & 4 BEDROOM MAISONETTES FOR SALE ALONG Kiambu...
,
3 bedroom house for sale in Kiambu Town
"
"
6 bedroom house for sale in Nyari
,
A Luxurious and Spacious 6 Bedrooms stand alone ...
","
1, Redhill drive, Nyari, Westlands
","
9600 ft²
,
6
","
KSh 200,000,000
","
A Luxurious and Spacious 6 Bedrooms stand alone...
,
6 bedroom house for sale in Nyari
"
"
5 bedroom townhouse for sale in Lavington
,
5 Bedrooms townhouse for sale in Lavington
","
Lavington, Dagoretti North
","
450 m²
,
5
","
KSh 63,000,000
","
5 Bedrooms townhouse for sale in Lavington
,
 5 bedroom townhouse for sale in Lavington
"
"
10 bedroom villa for sale in Watamu
,
Beach Property For Sale in Watamu, Kilifi
","
Jacaranda, Watamu, Kilifi North
","
4000 ft²
,
10
","
KSh 60,000,000
","
Beach Property For Sale in Watamu, Kilifi
,
10 bedroom villa for sale in Watamu
"
"
4 bedroom house for sale in Spring Valley
,
4 bedroom For Sale in Spring Valley Estate
","
Spring Valley, Westlands
","
 4
","
KSh 80,000,000
","
4 bedroom For Sale in Spring Valley Estate
,
4 bedroom house for sale in Spring Valley
"
"
4 bedroom house for sale in Lavington
,
LAVINGTON 4 BEDROOM TOWNHOUSE FOR SALE
","
Lavington, Dagoretti North
","
4
","
KSh 60,000,000
","
LAVINGTON 4 BEDROOM TOWNHOUSE FOR SALE
,
4 bedroom house for sale in Lavington
"
"
5 bedroom villa for sale in Lavington
,
This is a lovely townhouse, 5 bedrooms all en- ...
","
Elmolo Drive, Lavington, Dagoretti North
","
5
","
KSh 65,000,000
","
This is a lovely townhouse, 5 bedrooms all en-...
,
5 bedroom villa for sale in Lavington
"
"
4 bedroom house for sale in Karen
,
New 4bedroom homes with guestwings in Karen
","
Karen, Langata
","
4
","
KSh 67,000,000
","
New 4bedroom homes with guestwings in Karen
,
4 bedroom house for sale in Karen
"
"
3 bedroom townhouse for sale in Athi River Area
,
4 BedRoom Townhouse for Sale in Crystal Rivers ...
","
Crystal Rivers – Safaricom Mall, Athi River Area, Athi River
","
154 m²
,
3
","
KSh 14,000,000
","
4 BedRoom Townhouse for Sale in Crystal Rivers...
,
3 bedroom townhouse for sale in Athi River Area
"
"
4 bedroom townhouse for sale in Karen
,
4 BEDROOM TOWNHOUSE ALL ENSUITE + DSQ FOR SALE ...
","
Karen, Langata
","
2700 m²
,
4
","
KSh 32,000,000
","
4 BEDROOM TOWNHOUSE ALL ENSUITE + DSQ FOR SALE...
,
4 bedroom townhouse for sale in Karen
"
"
5 bedroom house for sale in Thika Road
,
EAGLE ESTATE
","
Exit 13, Kimbo, Thika Road, Thika Road
","
5
","
KSh 6,500,000
","
EAGLE ESTATE
,
5 bedroom house for sale in Thika Road
"
"
5 bedroom house for sale in Karen
,
Amara Ridge in Karen.
","
Forest edge, Karen, Langata
","
500 m²
,
5
","
KSh 150,000,000
","
Amara Ridge in Karen.
,
5 bedroom house for sale in Karen
"
"
4 bedroom house for sale in Karen
,
THE ROYAL
","
Karen, Langata
","
4
","
KSh 72,000,000
","
THE ROYAL
,
4 bedroom house for sale in Karen
"
"
3 bedroom house for sale in Ruiru
,
3 Bedroom Bungalow in Ruiru, Kimbo Murera.
","
Murera, Kimbo, Ruiru, Ruiru
","
3200 ft²
,
3
","
KSh 7,950,000
","
3 Bedroom Bungalow in Ruiru, Kimbo Murera.
,
3 bedroom house for sale in Ruiru
"
"
3 bedroom townhouse for sale in Kiambu Road
,
3br Townhouse, Kiambu road.
","
Kiambu Road, Kiambu Road
","
300 m²
,
3
","
KSh 35,250,000
","
3br Townhouse, Kiambu road.
,
3 bedroom townhouse for sale in Kiambu Road
"
"
4 bedroom townhouse for sale in Kilimani
,
4bedroom35M
","
Kilimani, Dagoretti North
","
4
","
KSh 35,000,000
","
4bedroom35M
,
4 bedroom townhouse for sale in Kilimani
"
"
4 bedroom townhouse for sale in Langata Area
,
Phenom Park Estate
","
Langata Area, Langata
","
4
","
KSh 35,000,000
","
Phenom Park Estate
,
4 bedroom townhouse for sale in Langata Area
"
"
4 bedroom house for sale in Kitengela
,
Lovely 3 BR Houses Plus Sqs in Kitengela
","
Kitengela, Kajiado North
","
2500 m²
,
4
","
KSh 9,600,000
","
Lovely 3 BR Houses Plus Sqs in Kitengela
,
4 bedroom house for sale in Kitengela
"
"
5 bedroom house for sale in Karen
,
THE CHARM
","
Karen, Langata
","
5
","
KSh 125,000,000
","
THE CHARM
,
5 bedroom house for sale in Karen
"
"
3 bedroom townhouse for sale in Baraka/Nyayo
,
House for Sale
","
Nyayo Embakasi, Baraka/Nyayo, Embakasi
","
130 m²
,
3
","
KSh 14,000,000
","
House for Sale
,
3 bedroom townhouse for sale in Baraka/Nyayo
"
"
3 bedroom house for sale in Ruai
,
Spacious 3 bedroom bungalows
","
Kangundo road, Ruai, Kasarani
","
306 m²
,
3
","
KSh 4,750,000
","
Spacious 3 bedroom bungalows
,
3 bedroom house for sale in Ruai
"
"
3 bedroom house for sale in Gikambura
,
3 bedroom master ensuite house for sale
","
Gikambura, Kikuyu
","
135 m²
,
3
","
KSh 5,500,000
","
3 bedroom master ensuite house for sale
,
3 bedroom house for sale in Gikambura
"
